média notícias positivas,preço médio ações (anterior),preço médio ações (atual),data e hora atual,,,
,,,,,,
0.7312280701754386,0.5591888773167071,0.5665108498859155,2019-04-05 19:04,,,
0.39041514041514047,0.5665108498859155,0.3331919782036792,2019-04-08 13:05,,sentimento negativo,mercado em queda
0.34786324786324785,0.3822920729982968,0.4004797663477788,2019-04-08 19:14,,,
0.4010353535353535,0.4004797663477788,0.14654759192053035,2019-04-09 13:00,,sentimento negativo,mercado em queda
0.4082505729564553,0.09159237368906759,0.08405738142840846,2019-04-09 19:07,,,
0.333596837944664,0.08405738142840846,0.17208927087101955,2019-04-11 13:04,,sentimento negativo,mercado em queda
0.3088888888888889,0.0,0.06878982586370341,2019-04-11 19:09,,,
0.8215873015873015,0.06878982586370341,0.525244077910969,2019-04-12 13:17,,sentimento positivo,mercado em alta
0.7834628720585943,0.4950507252067453,0.5283351807341603,2019-04-12 19:02,,,
0.6916450216450217,0.5283351807341603,0.5039082933921435,2019-04-15 13:01,,sentimento positivo,mercado em queda
0.4087301587301587,0.49915431525798226,0.49319843230552607,2019-04-15 19:07,,,
0.8241691104594329,0.49319843230552607,0.6687558388379813,2019-04-16 13:05,,sentimento positivo,mercado em alta
0.6994759626338574,0.6391627519363325,0.5857948822920278,2019-04-16 19:01,,,
0.6607226107226107,0.5857948822920278,0.6129238240038504,2019-04-17 13:09,,sentimento positivo,mercado em alta
0.5547222222222222,0.6176106863448112,0.648043664745451,2019-04-17 19:04,,,
0.4752136752136752,0.648043664745451,0.731321576053908,2019-04-18 13:01,,sentimento negativo,mercado em alta
0.6893939393939394,0.856670790597434,0.8289920486666773,2019-04-18 19:07,,,
0.5714285714285714,0.8289920486666773,0.6925356853041649,2019-04-22 13:07,,sentimento positivo,mercado em queda
0.5833333333333333,0.7169976754075975,0.7275012970427355,2019-04-22 19:02,,,
0.7617647058823529,0.7275012970427355,0.788730983679784,2019-04-23 13:01,,sentimento positivo,mercado em alta
0.7121191726118365,0.9495504657981968,0.9573268002717228,2019-04-23 19:08,,,
0.7147205611725737,0.9573268002717228,0.9367537498374645,2019-04-24 13:07,,sentimento positivo,mercado em queda
0.485036075036075,0.920061228141769,0.9059855357741284,2019-04-24 19:07,,,
0.40364718614718614,0.9059855357741284,0.5017643643460659,2019-04-25 13:09,,sentimento negativo ,mercado em queda
0.40989340687281184,0.7103294381283831,0.6834820051143637,2019-04-25 19:07,,,
0.5324242424242425,0.6834820051143637,0.5830155846819807,2019-04-26 13:01,,sentimento positivo ,mercado em alta
0.4401493930905696,0.68046977622204,0.7257176647995252,2019-04-26 19:00,,,
