,Date,Timestamp,Low,High,Close,Open
99,2019-04-26 15:30:00,1556307000.0,26480.7402,26543.5605,26541.3301,26484.5
98,2019-04-26 14:30:00,1556303400.0,26458.8008,26512.7793,26484.4609,26484.6602
97,2019-04-26 13:30:00,1556299800.0,26449.1504,26494.8301,26484.6504,26482.0
96,2019-04-26 12:30:00,1556296200.0,26463.8105,26496.6602,26483.8398,26486.7305
95,2019-04-26 11:30:00,1556292600.0,26471.8105,26501.2109,26486.7109,26491.0801
94,2019-04-26 10:30:00,1556289000.0,26427.6406,26497.25,26489.5801,26459.2598
93,2019-04-26 09:30:00,1556285400.0,26392.5508,26465.4805,26459.5801,26454.6191
92,2019-04-25 15:30:00,1556220600.0,26462.7793,26512.3105,26464.4199,26509.3008
91,2019-04-25 14:30:00,1556217000.0,26483.2207,26523.1504,26502.0508,26519.5996
90,2019-04-25 13:30:00,1556213400.0,26481.7207,26536.4805,26518.9297,26500.0898
89,2019-04-25 12:30:00,1556209800.0,26460.8906,26500.7695,26499.8809,26464.9902
88,2019-04-25 11:30:00,1556206200.0,26432.4395,26507.9609,26465.3594,26432.4395
87,2019-04-25 10:30:00,1556202600.0,26310.2793,26449.1406,26432.5605,26355.1797
86,2019-04-25 09:30:00,1556199000.0,26329.7305,26433.6309,26355.4297,26426.3691
85,2019-04-24 15:30:00,1556134200.0,26594.3301,26640.0098,26598.6406,26630.1094
84,2019-04-24 14:30:00,1556130600.0,26604.8906,26645.8496,26629.2305,26608.1309
83,2019-04-24 13:30:00,1556127000.0,26594.2305,26627.1699,26608.4805,26617.4199
82,2019-04-24 12:30:00,1556123400.0,26582.8594,26651.8906,26617.5508,26645.4199
81,2019-04-24 11:30:00,1556119800.0,26626.8301,26668.2305,26645.5195,26646.4395
80,2019-04-24 10:30:00,1556116200.0,26641.5605,26680.5801,26646.3691,26665.3008
79,2019-04-24 09:30:00,1556112600.0,26598.0801,26672.1094,26664.2598,26652.5605
78,2019-04-23 15:30:00,1556047800.0,26630.9004,26663.2598,26654.4609,26637.3203
77,2019-04-23 14:30:00,1556044200.0,26629.6699,26655.4297,26637.1191,26648.8008
76,2019-04-23 13:30:00,1556040600.0,26636.2109,26670.8691,26648.8105,26666.6406
75,2019-04-23 12:30:00,1556037000.0,26662.9004,26680.9805,26666.9492,26677.8594
74,2019-04-23 11:30:00,1556033400.0,26617.8105,26695.9609,26678.6406,26621.7891
73,2019-04-23 10:30:00,1556029800.0,26534.6094,26631.6504,26622.9199,26583.3809
72,2019-04-23 09:30:00,1556026200.0,26503.5605,26594.1602,26583.1504,26513.8301
71,2019-04-22 15:30:00,1555961400.0,26503.5098,26522.8691,26512.9199,26503.5098
70,2019-04-22 14:30:00,1555957800.0,26493.8008,26520.3398,26503.4707,26518.3398
69,2019-04-22 13:30:00,1555954200.0,26509.9395,26528.3203,26518.25,26514.1602
68,2019-04-22 12:30:00,1555950600.0,26507.8691,26538.2891,26514.1797,26535.5195
67,2019-04-22 11:30:00,1555947000.0,26521.0605,26553.0508,26535.5898,26542.0195
66,2019-04-22 10:30:00,1555943400.0,26485.8906,26546.4102,26542.1191,26499.1406
65,2019-04-22 09:30:00,1555939800.0,26458.6094,26527.0293,26498.1406,26472.9102
64,2019-04-18 15:30:00,1555615800.0,26546.1602,26598.4707,26560.0508,26598.4707
63,2019-04-18 14:30:00,1555612200.0,26574.4609,26602.4199,26598.9395,26587.5703
62,2019-04-18 13:30:00,1555608600.0,26549.3496,26590.4004,26587.4707,26568.2891
61,2019-04-18 12:30:00,1555605000.0,26537.8203,26571.2109,26568.3008,26571.2109
60,2019-04-18 11:30:00,1555601400.0,26496.1504,26570.0293,26568.7305,26502.7402
59,2019-04-18 10:30:00,1555597800.0,26444.5293,26534.4492,26499.9492,26479.8809
58,2019-04-18 09:30:00,1555594200.0,26458.6797,26572.1504,26480.6191,26463.3691
57,2019-04-17 15:30:00,1555529400.0,26450.5195,26483.2793,26450.5195,26459.9199
56,2019-04-17 14:30:00,1555525800.0,26428.8398,26469.5,26460.0293,26428.8398
55,2019-04-17 13:30:00,1555522200.0,26412.5508,26467.7891,26430.1699,26447.9492
54,2019-04-17 12:30:00,1555518600.0,26434.6309,26471.3105,26447.0,26439.3594
53,2019-04-17 11:30:00,1555515000.0,26395.0391,26457.5703,26439.4199,26434.6309
52,2019-04-17 10:30:00,1555511400.0,26418.5098,26464.6406,26435.2207,26448.5391
51,2019-04-17 09:30:00,1555507800.0,26391.8594,26501.0195,26448.2793,26468.5293
50,2019-04-16 15:30:00,1555443000.0,26397.1895,26464.0801,26452.2598,26464.0801
49,2019-04-16 14:30:00,1555439400.0,26449.9004,26473.5508,26464.4199,26450.0
48,2019-04-16 13:30:00,1555435800.0,26400.2109,26458.8008,26450.0293,26411.9004
47,2019-04-16 12:30:00,1555432200.0,26409.6992,26438.4492,26411.9004,26430.0996
46,2019-04-16 11:30:00,1555428600.0,26408.8398,26452.0801,26431.1094,26431.9492
45,2019-04-16 10:30:00,1555425000.0,26398.5293,26444.6504,26432.3105,26443.1094
44,2019-04-16 09:30:00,1555421400.0,26427.2207,26530.7109,26443.3105,26482.1895
43,2019-04-15 15:30:00,1555356600.0,26364.2109,26389.1699,26381.5508,26381.1895
42,2019-04-15 14:30:00,1555353000.0,26367.3301,26392.9902,26380.9609,26381.0996
41,2019-04-15 13:30:00,1555349400.0,26374.1191,26393.2207,26380.7891,26375.4707
40,2019-04-15 12:30:00,1555345800.0,26337.3301,26377.2305,26375.7695,26340.6406
39,2019-04-15 11:30:00,1555342200.0,26316.4199,26356.2891,26340.6699,26356.2891
